"tick","donation-normed-small","donation-small","donation-valued-small"
1.0,92.5,94.9995,95.0
2.0,92.5,94.999,95.0
3.0,92.5,94.9985,95.0
4.0,92.5,94.998,95.0
5.0,92.5,94.99778535991071,95.0
6.0,92.5,94.99373481963741,95.0
7.0,92.5,94.98272430961707,95.0
8.0,92.5,94.9527946403067,95.0
9.0,92.5,94.87143736408856,95.0
10.0,92.5,94.65811388300843,95.0
11.0,92.5,94.65075567228888,95.0
12.0,92.5,94.64433756729741,95.0
13.0,92.5,94.63867504905632,95.0
14.0,92.5,94.63363062095621,95.0
15.0,92.5,94.62909944487357,95.0
16.0,92.5,94.625,95.0
17.0,92.5,94.62126781251816,95.0
18.0,92.5,94.61785113019775,95.0
19.0,92.5,94.61470786693528,95.0
20.0,92.5,94.61180339887498,95.0
21.0,92.5,94.609108945118,95.0
22.0,92.5,94.6066003581778,95.0
23.0,92.5,94.60425720702854,95.0
24.0,92.5,94.60206207261596,95.0
25.0,92.5,94.6,95.0
26.0,92.5,94.5980580675691,95.0
27.0,92.5,94.59622504486495,95.0
28.0,92.5,94.59449111825231,95.0
29.0,92.5,94.59284766908851,95.0
30.0,92.5,94.59128709291753,95.0
31.0,92.5,94.58980265101339,95.0
32.0,92.5,94.5883883476483,95.0
33.0,92.5,94.58703882797785,95.0
34.0,92.5,94.58574929257125,95.0
35.0,92.5,94.58451542547286,95.0
36.0,92.5,94.58333333333334,95.0
37.0,92.5,94.58219949365268,95.0
38.0,92.5,94.58111071056538,95.0
39.0,92.5,94.58006407690254,95.0
40.0,92.5,94.5790569415042,95.0
41.0,92.5,94.57808688094431,95.0
42.0,92.5,94.57715167498104,95.0
43.0,92.5,94.5762492851663,95.0
44.0,92.5,94.57537783614444,95.0
45.0,92.5,94.57453559925,95.0
46.0,92.5,94.57372097807745,95.0
47.0,92.5,94.57293249574894,95.0
48.0,92.5,94.5721687836487,95.0
49.0,92.5,94.57142857142858,95.0
50.0,92.5,94.57071067811866,95.0
51.0,92.5,94.5700140042014,95.0
52.0,92.5,94.56933752452815,95.0
53.0,92.5,94.56868028197434,95.0
54.0,92.5,94.56804138174398,95.0
55.0,92.5,94.56741998624632,95.0
56.0,92.5,94.5668153104781,95.0
57.0,92.5,94.56622661785325,95.0
58.0,92.5,94.56565321642987,95.0
59.0,92.5,94.56509445549041,95.0
60.0,92.5,94.5645497224368,95.0
61.0,92.5,94.56401843996645,95.0
62.0,92.5,94.5635000635001,95.0
63.0,92.5,94.56299407883486,95.0
64.0,92.5,94.5625,95.0
65.0,92.5,94.5620173672946,95.0
66.0,92.5,94.56154574548967,95.0
67.0,92.5,94.56108472217815,95.0
68.0,92.5,94.56063390625908,95.0
69.0,92.5,94.5601929265429,95.0
70.0,92.5,94.55976143046672,95.0
71.0,92.5,94.5593390829097,95.0
72.0,92.5,94.55892556509887,95.0
73.0,92.5,94.55852057359807,95.0
74.0,92.5,94.5581238193719,95.0
75.0,92.5,94.55773502691896,95.0
76.0,92.5,94.55735393346764,95.0
77.0,92.5,94.55698028822982,95.0
78.0,92.5,94.55661385170723,95.0
79.0,92.5,94.5562543950463,95.0
80.0,92.5,94.5559016994375,95.0
81.0,92.5,94.55555555555556,95.0
82.0,92.5,94.55521576303742,95.0
83.0,92.5,94.55488212999485,95.0
84.0,92.5,94.55455447255899,95.0
85.0,92.5,94.55423261445466,95.0
86.0,92.5,94.55391638660171,95.0
87.0,92.5,94.55360562674188,95.0
88.0,92.5,94.5533001790889,95.0
89.0,92.5,94.55299989400032,95.0
90.0,92.5,94.55270462766947,95.0
91.0,92.5,94.55241424183609,95.0
92.0,92.5,94.55212860351426,95.0
93.0,92.5,94.55184758473652,95.0
94.0,92.5,94.55157106231295,95.0
95.0,92.5,94.55129891760426,95.0
96.0,92.5,94.55103103630799,95.0
97.0,92.5,94.55076730825668,95.0
98.0,92.5,94.55050762722762,95.0
99.0,92.5,94.55025189076295,95.0
100.0,92.5,94.55,95.0
101.0,92.5,94.54975185951051,95.0
102.0,92.5,94.54950737714884,95.0
103.0,92.5,94.54926646390821,95.0
104.0,92.5,94.54902903378454,95.0
105.0,92.5,94.54879500364743,95.0
106.0,92.5,94.54856429311786,95.0
107.0,92.5,94.54833682445228,95.0
108.0,92.5,94.54811252243248,95.0
109.0,92.5,94.54789131426107,95.0
110.0,92.5,94.54767312946228,95.0
111.0,92.5,94.54745789978763,95.0
112.0,92.5,94.54724555912615,95.0
113.0,92.5,94.54703604341918,95.0
114.0,92.5,94.54682929057908,95.0
115.0,92.5,94.54662524041201,95.0
116.0,92.5,94.54642383454426,95.0
117.0,92.5,94.54622501635211,95.0
118.0,92.5,94.54602873089492,95.0
119.0,92.5,94.5458349248514,95.0
120.0,92.5,94.54564354645876,95.0
121.0,92.5,94.54545454545455,95.0
122.0,92.5,94.54526787302126,95.0
123.0,92.5,94.54508348173337,95.0
124.0,92.5,94.54490132550669,95.0
125.0,92.5,94.54472135955,95.0
126.0,92.5,94.54454354031874,95.0
127.0,92.5,94.5443678254708,95.0
128.0,92.5,94.54419417382417,95.0
129.0,92.5,94.54402254531628,95.0
130.0,92.5,94.54385290096535,95.0
131.0,92.5,94.54368520283306,95.0
132.0,92.5,94.54351941398893,95.0
133.0,92.5,94.5433554984762,95.0
134.0,92.5,94.54319342127907,95.0
135.0,92.5,94.54303314829119,95.0
136.0,92.5,94.54287464628563,95.0
137.0,92.5,94.54271788288584,95.0
138.0,92.5,94.54256282653793,95.0
139.0,92.5,94.542409446484,95.0
140.0,92.5,94.54225771273643,95.0
141.0,92.5,94.54210759605333,95.0
142.0,92.5,94.54195906791483,95.0
143.0,92.5,94.54181210050035,95.0
144.0,92.5,94.54166666666666,95.0
145.0,92.5,94.54152273992688,95.0
146.0,92.5,94.54138029443013,95.0
147.0,92.5,94.54123930494212,95.0
148.0,92.5,94.54109974682635,95.0
149.0,92.5,94.54096159602595,95.0
150.0,92.5,94.54082482904639,95.0
151.0,92.5,94.54068942293856,95.0
152.0,92.5,94.54055535528269,95.0
153.0,92.5,94.54042260417273,95.0
154.0,92.5,94.54029114820128,95.0
155.0,92.5,94.54016096644513,95.0
156.0,92.5,94.54003203845127,95.0
157.0,92.5,94.53990434422339,95.0
158.0,92.5,94.53977786420879,95.0
159.0,92.5,94.5396525792859,95.0
160.0,92.5,94.5395284707521,95.0
161.0,92.5,94.53940552031194,95.0
162.0,92.5,94.53928371006592,95.0
163.0,92.5,94.5391630224994,95.0
164.0,92.5,94.53904344047216,95.0
165.0,92.5,94.53892494720807,95.0
166.0,92.5,94.53880752628531,95.0
167.0,92.5,94.5386911616267,95.0
168.0,92.5,94.53857583749053,95.0
169.0,92.5,94.53846153846153,95.0
170.0,92.5,94.53834824944236,95.0
171.0,92.5,94.53823595564509,95.0
172.0,92.5,94.53812464258314,95.0
173.0,92.5,94.5380142960635,95.0
174.0,92.5,94.53790490217895,95.0
175.0,92.5,94.53779644730092,95.0
176.0,92.5,94.53768891807222,95.0
177.0,92.5,94.53758230140014,95.0
178.0,92.5,94.53747658444979,95.0
179.0,92.5,94.53737175463759,95.0
180.0,92.5,94.537267799625,95.0
181.0,92.5,94.53716470731236,95.0
182.0,92.5,94.53706246583306,95.0
183.0,92.5,94.53696106354774,95.0
184.0,92.5,94.53686048903873,95.0
185.0,92.5,94.53676073110469,95.0
186.0,92.5,94.53666177875535,95.0
187.0,92.5,94.53656362120635,95.0
188.0,92.5,94.53646624787447,95.0
189.0,92.5,94.53636964837267,95.0
190.0,92.5,94.5362738125055,95.0
191.0,92.5,94.53617873026462,95.0
192.0,92.5,94.53608439182435,95.0
193.0,92.5,94.53599078753743,95.0
194.0,92.5,94.53589790793089,95.0
195.0,92.5,94.53580574370197,95.0
196.0,92.5,94.53571428571429,95.0
197.0,92.5,94.53562352499395,95.0
198.0,92.5,94.53553345272594,95.0
199.0,92.5,94.53544406025041,95.0
200.0,92.5,94.53535533905934,95.0
201.0,92.5,94.53526728079292,95.0
202.0,92.5,94.53517987723652,95.0
203.0,92.5,94.53509312031717,95.0
204.0,92.5,94.5350070021007,95.0
205.0,92.5,94.53492151478848,95.0
206.0,92.5,94.53483665071458,95.0
207.0,92.5,94.53475240234285,95.0
208.0,92.5,94.53466876226408,95.0
209.0,92.5,94.5345857231933,95.0
210.0,92.5,94.53450327796712,95.0
211.0,92.5,94.53442141954108,95.0
212.0,92.5,94.53434014098717,95.0
213.0,92.5,94.53425943549138,95.0
214.0,92.5,94.53417929635123,95.0
215.0,92.5,94.53409971697353,95.0
216.0,92.5,94.53402069087198,95.0
217.0,92.5,94.5339422116651,95.0
218.0,92.5,94.53386427307393,95.0
219.0,92.5,94.53378686891998,95.0
220.0,92.5,94.53370999312315,95.0
221.0,92.5,94.53363363969981,95.0
222.0,92.5,94.5335578027607,95.0
223.0,92.5,94.53348247650912,95.0
224.0,92.5,94.53340765523906,95.0
225.0,92.5,94.53333333333333,95.0
226.0,92.5,94.5332595052619,95.0
227.0,92.5,94.53318616558,95.0
228.0,92.5,94.53311330892663,95.0
229.0,92.5,94.53304093002275,95.0
230.0,92.5,94.53296902366978,95.0
231.0,92.5,94.53289758474799,95.0
232.0,92.5,94.53282660821493,95.0
233.0,92.5,94.53275608910403,95.0
234.0,92.5,94.53268602252304,95.0
235.0,92.5,94.53261640365267,95.0
236.0,92.5,94.5325472277452,95.0
237.0,92.5,94.53247849012308,95.0
238.0,92.5,94.5324101861776,95.0
239.0,92.5,94.53234231136766,95.0
240.0,92.5,94.5322748612184,95.0
241.0,92.5,94.53220783132005,95.0
242.0,92.5,94.53214121732665,95.0
243.0,92.5,94.53207501495498,95.0
244.0,92.5,94.53200921998322,95.0
245.0,92.5,94.53194382825,95.0
246.0,92.5,94.53187883565316,95.0
247.0,92.5,94.53181423814878,95.0
248.0,92.5,94.53175003175005,95.0
249.0,92.5,94.53168621252622,95.0
250.0,92.5,94.53162277660168,95.0
251.0,92.5,94.53155972015489,95.0
252.0,92.5,94.53149703941743,95.0
253.0,92.5,94.5314347306731,95.0
254.0,92.5,94.53137279025691,95.0
255.0,92.5,94.53131121455426,95.0
256.0,92.5,94.53125,95.0
257.0,92.5,94.53118914307758,95.0
258.0,92.5,94.53112864031823,95.0
259.0,92.5,94.53106848830006,95.0
260.0,92.5,94.5310086836473,95.0
261.0,92.5,94.53094922302951,95.0
262.0,92.5,94.53089010316076,95.0
263.0,92.5,94.53083132079891,95.0
264.0,92.5,94.53077287274483,95.0
265.0,92.5,94.5307147558417,95.0
266.0,92.5,94.53065696697425,95.0
267.0,92.5,94.5305995030681,95.0
268.0,92.5,94.53054236108908,95.0
269.0,92.5,94.53048553804248,95.0
270.0,92.5,94.5304290309725,95.0
271.0,92.5,94.53037283696155,95.0
272.0,92.5,94.53031695312954,95.0
273.0,92.5,94.53026137663343,95.0
274.0,92.5,94.53020610466652,95.0
275.0,92.5,94.53015113445778,95.0
276.0,92.5,94.53009646327145,95.0
277.0,92.5,94.5300420884063,95.0
278.0,92.5,94.5299880071952,95.0
279.0,92.5,94.52993421700447,95.0
280.0,92.5,94.52988071523336,95.0
281.0,92.5,94.5298274993136,95.0
282.0,92.5,94.52977456670877,95.0
283.0,92.5,94.52972191491389,95.0
284.0,92.5,94.52966954145485,95.0
285.0,92.5,94.52961744388796,95.0
286.0,92.5,94.52956561979946,95.0
287.0,92.5,94.52951406680504,95.0
288.0,92.5,94.52946278254944,95.0
289.0,92.5,94.52941176470588,95.0
290.0,92.5,94.52936101097573,95.0
291.0,92.5,94.52931051908803,95.0
292.0,92.5,94.52926028679903,95.0
293.0,92.5,94.52921031189184,95.0
294.0,92.5,94.529160592176,95.0
295.0,92.5,94.52911112548698,95.0
296.0,92.5,94.52906190968596,95.0
297.0,92.5,94.52901294265928,95.0
298.0,92.5,94.52896422231818,95.0
299.0,92.5,94.52891574659832,95.0
300.0,92.5,94.52886751345947,95.0
