"tick","donation-normed-small","donation-small","donation-valued-small"
51.0,26.347150628109127,26.331326228098316,77.0
52.0,26.347150628109127,26.312891224641618,77.0
53.0,26.347150628109127,26.291720891237155,77.0
54.0,26.347150628109127,26.311882271079565,77.0
55.0,26.347150628109127,26.40677836350998,77.0
56.0,26.347150628109127,26.704297806425654,77.0
57.0,26.347150628109127,27.552089390165815,77.0
58.0,26.347150628109127,29.811450990657256,77.0
59.0,26.347150628109127,29.86843563592609,77.0
60.0,26.347150628109127,29.915638404222534,77.0
61.0,26.347150628109127,29.95502696768923,77.0
62.0,26.347150628109127,29.988066288928916,77.0
63.0,26.347150628109127,30.015872226758137,77.0
64.0,26.347150628109127,30.039311427831542,77.0
65.0,26.347150628109127,30.059068377956788,77.0
66.0,26.347150628109127,30.075691654087098,77.0
67.0,26.347150628109127,30.08962659537527,77.0
68.0,26.347150628109127,30.10123886737669,77.0
69.0,26.347150628109127,30.11083177469259,77.0
70.0,26.347150628109127,30.11865919185427,77.0
71.0,26.347150628109127,30.124935365315842,77.0
72.0,26.347150628109127,30.129842443479504,77.0
73.0,26.347150628109127,30.133536331822377,77.0
74.0,26.347150628109127,30.136151296178262,77.0
75.0,26.347150628109127,30.13780361854404,77.0
76.0,26.347150628109127,30.138594527472257,77.0
77.0,26.347150628109127,30.13861256715263,77.0
78.0,26.347150628109127,30.13793552789369,77.0
79.0,26.347150628109127,30.136632030772766,77.0
80.0,26.347150628109127,30.134762837298354,77.0
81.0,26.347150628109127,30.13238193869836,77.0
82.0,26.347150628109127,30.129537467305987,77.0
83.0,26.347150628109127,30.1262724633447,77.0
84.0,26.347150628109127,30.12262552342428,77.0
85.0,26.347150628109127,30.11863135168822,77.0
86.0,26.347150628109127,30.11432123039027,77.0
87.0,26.347150628109127,30.10972342342931,77.0
88.0,26.347150628109127,30.10486352381789,77.0
89.0,26.347150628109127,30.099764754038926,77.0
90.0,26.347150628109127,30.094448226635244,77.0
91.0,26.347150628109127,30.088933171087888,77.0
92.0,26.347150628109127,30.083237131999965,77.0
93.0,26.347150628109127,30.077376142761825,77.0
94.0,26.347150628109127,30.071364878187957,77.0
95.0,26.347150628109127,30.065216789056024,77.0
96.0,26.347150628109127,30.058944221017498,77.0
97.0,26.347150628109127,30.052558519969363,77.0
98.0,26.347150628109127,30.04607012566084,77.0
99.0,26.347150628109127,30.03948865504683,77.0
100.0,26.347150628109127,30.032822976680357,77.0
101.0,26.347150628109127,30.026081277252434,77.0
102.0,26.347150628109127,30.019271121232645,77.0
103.0,26.347150628109127,30.012399504433404,77.0
104.0,26.347150628109127,30.005472902209476,77.0
105.0,26.347150628109127,29.998497312910537,77.0
106.0,26.347150628109127,29.991478297123955,77.0
107.0,26.347150628109127,29.984421013176338,77.0
108.0,26.347150628109127,29.977330249303396,77.0
109.0,26.347150628109127,29.970210452847112,77.0
110.0,26.347150628109127,29.963065756795395,77.0
111.0,26.347150628109127,29.955900003941537,77.0
112.0,26.347150628109127,29.94871676890842,77.0
113.0,26.347150628109127,29.94151937825344,77.0
114.0,26.347150628109127,29.934310928845957,77.0
115.0,26.347150628109127,29.927094304686914,77.0
116.0,26.347150628109127,29.919872192321883,77.0
117.0,26.942604222144585,25.76469255785034,65.0
118.0,26.942604222144585,25.76282441204103,65.0
119.0,26.942604222144585,25.76095753494283,65.0
120.0,26.942604222144585,25.75909361583523,65.0
121.0,26.942604222144585,25.754863852116447,65.0
122.0,26.942604222144585,25.782503470370926,65.0
123.0,26.942604222144585,25.86796431091516,65.0
124.0,26.942604222144585,26.11058814154497,65.0
125.0,26.942604222144585,26.780411605072477,65.0
126.0,26.942604222144585,28.54643966598233,65.0
127.0,26.942604222144585,28.601603633159485,65.0
128.0,26.942604222144585,28.648971435128832,65.0
129.0,26.942604222144585,28.69007669770457,65.0
130.0,26.942604222144585,28.726062387576366,65.0
131.0,26.942604222144585,28.757800131602938,65.0
132.0,26.942604222144585,28.785967814053976,65.0
