"tick","big-power","big-universalsim","small-power","small-universalsim"
159.0,30.0,66.0,2.0,4.0
160.0,30.0,66.0,2.0,4.0
161.0,30.0,66.0,2.0,4.0
162.0,30.0,66.0,2.0,4.0
163.0,30.0,66.0,2.0,4.0
164.0,30.0,66.0,2.0,4.0
165.0,30.0,66.0,2.0,4.0
166.0,30.0,66.0,2.0,4.0
167.0,30.0,66.0,2.0,4.0
168.0,30.0,66.0,2.0,4.0
169.0,30.0,66.0,2.0,4.0
170.0,30.0,66.0,2.0,4.0
171.0,30.0,66.0,2.0,4.0
172.0,30.0,66.0,2.0,4.0
173.0,30.0,66.0,2.0,4.0
174.0,30.0,66.0,2.0,4.0
175.0,30.0,66.0,2.0,4.0
176.0,30.0,66.0,2.0,4.0
177.0,30.0,66.0,2.0,4.0
178.0,30.0,66.0,2.0,4.0
179.0,30.0,66.0,2.0,4.0
180.0,30.0,66.0,2.0,4.0
181.0,30.0,66.0,2.0,4.0
182.0,30.0,66.0,2.0,4.0
183.0,30.0,66.0,2.0,4.0
184.0,30.0,66.0,2.0,4.0
185.0,30.0,66.0,2.0,4.0
186.0,30.0,66.0,2.0,4.0
187.0,30.0,66.0,2.0,4.0
188.0,30.0,66.0,2.0,4.0
189.0,30.0,66.0,2.0,4.0
190.0,30.0,66.0,2.0,4.0
191.0,30.0,66.0,2.0,4.0
192.0,30.0,66.0,2.0,4.0
193.0,30.0,66.0,2.0,4.0
194.0,30.0,66.0,2.0,4.0
195.0,30.0,66.0,2.0,4.0
196.0,30.0,66.0,2.0,4.0
197.0,30.0,66.0,2.0,4.0
198.0,30.0,66.0,2.0,4.0
199.0,30.0,66.0,2.0,4.0
200.0,30.0,66.0,2.0,4.0
201.0,30.0,66.0,2.0,4.0
202.0,30.0,66.0,2.0,4.0
203.0,30.0,66.0,2.0,4.0
204.0,30.0,66.0,2.0,4.0
205.0,30.0,66.0,2.0,4.0
206.0,30.0,66.0,2.0,4.0
207.0,30.0,66.0,2.0,4.0
208.0,30.0,66.0,2.0,4.0
209.0,30.0,66.0,2.0,4.0
210.0,30.0,66.0,2.0,4.0
211.0,30.0,66.0,2.0,4.0
212.0,30.0,66.0,2.0,4.0
213.0,30.0,66.0,2.0,4.0
214.0,30.0,66.0,2.0,4.0
215.0,30.0,66.0,2.0,4.0
216.0,30.0,66.0,2.0,4.0
217.0,30.0,66.0,2.0,4.0
218.0,30.0,66.0,2.0,4.0
219.0,30.0,66.0,2.0,4.0
220.0,30.0,66.0,2.0,4.0
221.0,30.0,66.0,2.0,4.0
222.0,30.0,66.0,2.0,4.0
223.0,30.0,66.0,2.0,4.0
224.0,30.0,66.0,2.0,4.0
225.0,30.0,66.0,2.0,4.0
226.0,30.0,66.0,2.0,4.0
227.0,30.0,66.0,2.0,4.0
228.0,30.0,66.0,2.0,4.0
229.0,30.0,66.0,2.0,4.0
230.0,30.0,66.0,2.0,4.0
231.0,30.0,66.0,2.0,4.0
232.0,30.0,66.0,2.0,4.0
233.0,30.0,66.0,2.0,4.0
234.0,30.0,66.0,2.0,4.0
235.0,30.0,66.0,2.0,4.0
236.0,30.0,66.0,2.0,4.0
237.0,30.0,66.0,2.0,4.0
238.0,30.0,66.0,2.0,4.0
239.0,30.0,66.0,2.0,4.0
240.0,30.0,66.0,2.0,4.0
241.0,30.0,66.0,2.0,4.0
242.0,30.0,66.0,2.0,4.0
243.0,30.0,66.0,2.0,4.0
244.0,30.0,66.0,2.0,4.0
245.0,30.0,66.0,2.0,4.0
246.0,30.0,66.0,2.0,4.0
247.0,30.0,66.0,2.0,4.0
248.0,30.0,66.0,2.0,4.0
249.0,30.0,66.0,2.0,4.0
250.0,30.0,66.0,2.0,4.0
251.0,30.0,66.0,2.0,4.0
252.0,30.0,66.0,2.0,4.0
253.0,30.0,66.0,2.0,4.0
254.0,30.0,66.0,2.0,4.0
255.0,30.0,66.0,2.0,4.0
256.0,30.0,66.0,2.0,4.0
257.0,30.0,66.0,2.0,4.0
258.0,30.0,66.0,2.0,4.0
259.0,30.0,66.0,2.0,4.0
260.0,30.0,66.0,2.0,4.0
261.0,30.0,66.0,2.0,4.0
262.0,30.0,66.0,2.0,4.0
263.0,30.0,66.0,2.0,4.0
264.0,30.0,66.0,2.0,4.0
265.0,30.0,66.0,2.0,4.0
266.0,30.0,66.0,2.0,4.0
267.0,30.0,66.0,2.0,4.0
268.0,30.0,66.0,2.0,4.0
269.0,30.0,66.0,2.0,4.0
270.0,30.0,66.0,2.0,4.0
271.0,30.0,66.0,2.0,4.0
272.0,30.0,66.0,2.0,4.0
273.0,30.0,66.0,2.0,4.0
274.0,30.0,66.0,2.0,4.0
275.0,30.0,66.0,2.0,4.0
276.0,30.0,66.0,2.0,4.0
277.0,30.0,66.0,2.0,4.0
278.0,30.0,66.0,2.0,4.0
279.0,30.0,66.0,2.0,4.0
280.0,30.0,66.0,2.0,4.0
281.0,30.0,66.0,2.0,4.0
282.0,30.0,66.0,2.0,4.0
283.0,30.0,66.0,2.0,4.0
284.0,30.0,66.0,2.0,4.0
285.0,30.0,66.0,2.0,4.0
286.0,30.0,66.0,2.0,4.0
287.0,30.0,66.0,2.0,4.0
288.0,30.0,66.0,2.0,4.0
289.0,30.0,66.0,2.0,4.0
290.0,30.0,66.0,2.0,4.0
291.0,30.0,66.0,2.0,4.0
292.0,30.0,66.0,2.0,4.0
293.0,30.0,66.0,2.0,4.0
294.0,30.0,66.0,2.0,4.0
295.0,30.0,66.0,2.0,4.0
296.0,30.0,66.0,2.0,4.0
297.0,30.0,66.0,2.0,4.0
298.0,30.0,66.0,2.0,4.0
299.0,30.0,66.0,2.0,4.0
300.0,30.0,66.0,2.0,4.0
301.0,30.0,66.0,2.0,4.0
302.0,30.0,66.0,2.0,4.0
303.0,30.0,66.0,2.0,4.0
304.0,30.0,66.0,2.0,4.0
305.0,30.0,66.0,2.0,4.0
306.0,30.0,66.0,2.0,4.0
307.0,30.0,66.0,2.0,4.0
308.0,30.0,66.0,2.0,4.0
309.0,30.0,66.0,2.0,4.0
310.0,30.0,66.0,2.0,4.0
311.0,30.0,66.0,2.0,4.0
312.0,30.0,66.0,2.0,4.0
313.0,30.0,66.0,2.0,4.0
314.0,30.0,66.0,2.0,4.0
315.0,30.0,66.0,2.0,4.0
316.0,30.0,66.0,2.0,4.0
317.0,30.0,66.0,2.0,4.0
318.0,30.0,66.0,2.0,4.0
319.0,30.0,66.0,2.0,4.0
320.0,30.0,66.0,2.0,4.0
321.0,30.0,66.0,2.0,4.0
322.0,30.0,66.0,2.0,4.0
323.0,30.0,66.0,2.0,4.0
324.0,30.0,66.0,2.0,4.0
325.0,30.0,66.0,2.0,4.0
326.0,30.0,66.0,2.0,4.0
327.0,30.0,66.0,2.0,4.0
328.0,30.0,66.0,2.0,4.0
329.0,30.0,66.0,2.0,4.0
330.0,30.0,66.0,2.0,4.0
331.0,30.0,66.0,2.0,4.0
332.0,30.0,66.0,2.0,4.0
333.0,30.0,66.0,2.0,4.0
334.0,30.0,66.0,2.0,4.0
335.0,30.0,66.0,2.0,4.0
336.0,30.0,66.0,2.0,4.0
337.0,30.0,66.0,2.0,4.0
338.0,30.0,66.0,2.0,4.0
339.0,30.0,66.0,2.0,4.0
340.0,30.0,66.0,2.0,4.0
341.0,30.0,66.0,2.0,4.0
342.0,30.0,66.0,2.0,4.0
343.0,30.0,66.0,2.0,4.0
344.0,30.0,66.0,2.0,4.0
345.0,30.0,66.0,2.0,4.0
346.0,30.0,66.0,2.0,4.0
347.0,30.0,66.0,2.0,4.0
348.0,30.0,66.0,2.0,4.0
349.0,30.0,66.0,2.0,4.0
350.0,30.0,66.0,2.0,4.0
351.0,30.0,66.0,2.0,4.0
352.0,30.0,66.0,2.0,4.0
353.0,30.0,66.0,2.0,4.0
354.0,30.0,66.0,2.0,4.0
355.0,30.0,66.0,2.0,4.0
356.0,30.0,66.0,2.0,4.0
357.0,30.0,66.0,2.0,4.0
358.0,30.0,66.0,2.0,4.0
359.0,30.0,66.0,2.0,4.0
360.0,30.0,66.0,2.0,4.0
361.0,30.0,66.0,2.0,4.0
362.0,30.0,66.0,2.0,4.0
363.0,30.0,66.0,2.0,4.0
364.0,30.0,66.0,2.0,4.0
365.0,30.0,66.0,2.0,4.0
366.0,30.0,66.0,2.0,4.0
367.0,30.0,66.0,2.0,4.0
368.0,30.0,66.0,2.0,4.0
