"tick","donation-normed-big","donation-big group","donation-valued-big"
1.0,92.5,94.99935606060609,95.0
2.0,92.5,94.99871212121211,95.0
3.0,92.5,94.9980681818182,95.0
4.0,92.5,94.9974242424242,95.0
5.0,92.5,94.99714781200618,95.0
6.0,92.5,94.99193120710876,95.0
7.0,92.5,94.9777510048099,95.0
8.0,92.5,94.9392052185768,95.0
9.0,92.5,94.83442690829584,95.0
10.0,92.5,94.55969212205632,95.0
11.0,92.5,94.55021563855385,95.0
12.0,92.5,94.54194989727696,95.0
13.0,92.5,94.53465726014826,95.0
14.0,92.5,94.52816064820115,95.0
15.0,92.5,94.52232504264025,95.0
16.0,92.5,94.51704545454545,95.0
17.0,92.5,94.51223884945517,95.0
18.0,92.5,94.50783857676987,95.0
19.0,92.5,94.5037904346894,95.0
20.0,92.5,94.50004983188448,95.0
21.0,92.5,94.49657970204589,95.0
22.0,92.5,94.4933489461381,95.0
23.0,92.5,94.49033125147618,95.0
24.0,92.5,94.48750418442968,95.0
25.0,92.5,94.48484848484848,95.0
26.0,92.5,94.48234751126321,95.0
27.0,92.5,94.47998680020483,95.0
28.0,92.5,94.47775371290074,95.0
29.0,92.5,94.47563714958373,95.0
30.0,92.5,94.47362731663617,95.0
31.0,92.5,94.47171553539606,95.0
32.0,92.5,94.4698940840925,95.0
33.0,92.5,94.46815606633507,95.0
34.0,92.5,94.46649530103872,95.0
35.0,92.5,94.46490622977561,95.0
36.0,92.5,94.46338383838386,95.0
37.0,92.5,94.46192359031025,95.0
38.0,92.5,94.46052136966752,95.0
39.0,92.5,94.45917343237443,95.0
40.0,92.5,94.45787636405842,95.0
41.0,92.5,94.45662704364037,95.0
42.0,92.5,94.455422611718,95.0
43.0,92.5,94.45426044301725,95.0
44.0,92.5,94.45313812230722,95.0
45.0,92.5,94.45205342327648,95.0
46.0,92.5,94.45100428994826,95.0
47.0,92.5,94.44998882028268,95.0
48.0,92.5,94.44900525166878,95.0
49.0,92.49588809889305,94.45624855334411,95.0
50.0,92.49588809889305,94.45529636784086,95.0
51.0,92.49588809889305,94.45437110246264,95.0
52.0,92.49588809889305,94.45347145664776,95.0
53.0,92.49588809889305,94.45261985839278,95.0
54.0,92.49588809889305,94.4514737233574,95.0
55.0,92.49588809889305,94.44977315767686,95.0
56.0,92.49588809889305,94.4465263386103,95.0
57.0,92.49588809889305,94.43903898508584,95.0
58.0,92.49588809889305,94.42063754263572,95.0
59.0,92.49588809889305,94.4193190341444,95.0
60.0,92.49588809889305,94.4180962106122,95.0
61.0,92.49588809889305,94.4169530521197,95.0
62.0,92.49588809889305,94.41587747609678,95.0
63.0,92.49588809889305,94.41486014428813,95.0
64.0,92.49588809889305,94.41389368611009,95.0
65.0,92.49588809889305,94.41297217666126,95.0
66.0,92.49588809889305,94.41209077607861,95.0
67.0,92.49588809889305,94.41124547429743,95.0
68.0,92.49588809889305,94.4104329065352,95.0
69.0,92.49588809889305,94.4096502173631,95.0
70.0,92.49588809889305,94.40889495886445,95.0
71.0,92.49588809889305,94.40816501316195,95.0
72.0,92.49588809889305,94.40745853266166,95.0
73.0,92.49588809889305,94.40677389338066,95.0
74.0,92.49588809889305,94.406109658068,95.0
75.0,92.49588809889305,94.405464546756,95.0
76.0,92.49588809889305,94.40483741301146,95.0
77.0,92.49588809889305,94.4042272246101,95.0
78.0,92.49588809889305,94.40363304767644,95.0
79.0,92.49588809889305,94.40305403356618,95.0
80.0,92.49588809889305,94.40248940793484,95.0
81.0,92.49588809889305,94.40193846156805,95.0
82.0,92.49588809889305,94.40140054263811,95.0
83.0,92.49588809889305,94.40087505012457,95.0
84.0,92.49588809889305,94.40036142819467,95.0
85.0,92.49588809889305,94.39985916137407,95.0
86.0,92.49588809889305,94.39936777037853,95.0
87.0,92.49588809889305,94.39888680849721,95.0
88.0,92.49588809889305,94.39841585844032,95.0
89.0,92.49588809889305,94.3979545295805,95.0
90.0,92.49588809889305,94.39750245552814,95.0
91.0,92.49588809889305,94.3970592919914,95.0
92.0,92.49588809889305,94.39662471488245,95.0
93.0,92.49588809889305,94.39619841863346,95.0
94.0,92.49588809889305,94.39578011469526,95.0
95.0,92.49588809889305,94.39536953019524,95.0
96.0,92.49588809889305,94.39496640673191,95.0
97.0,92.49588809889305,94.39457049929158,95.0
98.0,92.49588809889305,94.39418157526971,95.0
99.0,92.49588809889305,94.39379941358683,95.0
100.0,92.49588809889305,94.39342380388585,95.0
