"tick","donation-normed-big","donation-big group","donation-valued-big"
1.0,92.5,94.99935606060608,95.0
2.0,92.5,94.9987121212121,95.0
3.0,92.5,94.99806818181818,95.0
4.0,92.5,94.99742424242422,95.0
5.0,92.5,94.9971478120062,95.0
6.0,92.5,94.99193120710876,95.0
7.0,92.5,94.97775100480989,95.0
8.0,92.5,94.9392052185768,95.0
9.0,92.4995463076013,94.83686038134529,95.0
10.0,92.4995463076013,94.56618834717816,95.0
11.0,92.4995463076013,94.55681553660271,95.0
12.0,92.4995463076013,94.54863539747339,95.0
13.0,92.4995463076013,94.54143539299669,95.0
14.0,92.4995463076013,94.53472979088347,95.0
15.0,92.4995463076013,94.52814961329133,95.0
16.0,92.4995463076013,94.52068810988072,95.0
17.0,92.4995463076013,94.50980798428562,95.0
18.0,92.4995463076013,94.48936015806117,95.0
19.0,92.4995463076013,94.48481663908026,95.0
20.0,92.4995463076013,94.48064707941799,95.0
21.0,92.4995463076013,94.47680102849097,95.0
22.0,92.4995463076013,94.47323746572502,95.0
23.0,92.4995463076013,94.46992255229277,95.0
24.0,92.4995463076013,94.46682803178096,95.0
25.0,92.4995463076013,94.4639300615229,95.0
26.0,92.4995463076013,94.46120833936345,95.0
27.0,92.4995463076013,94.45864543876391,95.0
28.0,92.4995463076013,94.45622629430312,95.0
29.0,92.4995463076013,94.45393779793841,95.0
30.0,92.4995463076013,94.4517684782633,95.0
31.0,92.4995463076013,94.4497082429057,95.0
32.0,92.4995463076013,94.44774816961,95.0
33.0,92.4995463076013,94.44588033530664,95.0
34.0,92.4995463076013,94.44409767514142,95.0
35.0,92.4995463076013,94.44239386536377,95.0
36.0,92.4995463076013,94.44076322538454,95.0
37.0,92.4995463076013,94.43920063535754,95.0
38.0,92.4995463076013,94.43770146642976,95.0
39.0,92.4995463076013,94.43626152139716,95.0
40.0,92.4995463076013,94.43487698396511,95.0
41.0,92.4995463076013,94.43354437516365,95.0
42.0,92.4995463076013,94.43226051574676,95.0
43.0,92.4995463076013,94.43102249362103,95.0
44.0,92.4995463076013,94.42982763552264,95.0
45.0,92.4995463076013,94.42867348229925,95.0
46.0,92.4995463076013,94.42755776726298,95.0
47.0,92.4995463076013,94.42647839717186,95.0
48.0,92.4995463076013,94.42543343546907,95.0
49.0,92.4995463076013,94.42442108746712,95.0
50.0,92.4995463076013,94.42343968721637,95.0
51.0,92.4995463076013,94.4224876858338,95.0
52.0,92.4995463076013,94.42156364110416,95.0
53.0,92.4995463076013,94.42066620819138,95.0
54.0,92.4995463076013,94.41979413132327,95.0
55.0,92.4995463076013,94.41894623632999,95.0
56.0,92.4995463076013,94.41812142393431,95.0
57.0,92.4995463076013,94.41731866370665,95.0
58.0,92.4995463076013,94.41653698860658,95.0
59.0,92.4995463076013,94.4157754900457,95.0
60.0,92.4995463076013,94.41503331341353,95.0
61.0,92.4995463076013,94.41430965401551,95.0
62.0,92.4995463076013,94.4136037533798,95.0
63.0,92.4995463076013,94.41291489589273,95.0
64.0,92.4995463076013,94.41224240572947,95.0
65.0,92.4995463076013,94.41158564405004,95.0
66.0,92.4995463076013,94.41094400643284,95.0
67.0,92.4995463076013,94.41031692052353,95.0
68.0,92.4995463076013,94.40970384387703,95.0
69.0,92.4995463076013,94.40910426197512,95.0
70.0,92.4995463076013,94.40851768640208,95.0
71.0,92.4995463076013,94.4079436531648,95.0
72.0,92.4995463076013,94.40738172114224,95.0
73.0,92.4995463076013,94.40683147065502,95.0
74.0,92.4995463076013,94.40629250214172,95.0
75.0,92.4995463076013,94.40576443493472,95.0
76.0,92.4995463076013,94.40524690612557,95.0
77.0,92.4995463076013,94.4047395695127,95.0
78.0,92.4995463076013,94.40424209462445,95.0
79.0,92.4995463076013,94.40375416581118,95.0
80.0,92.4995463076013,94.40327548140033,95.0
81.0,92.4995463076013,94.40280575291015,95.0
82.0,92.4995463076013,94.40234470431679,95.0
83.0,92.4995463076013,94.40189207136991,95.0
84.0,92.4995463076013,94.40144760095507,95.0
85.0,92.4995463076013,94.40101105049631,95.0
86.0,92.4995463076013,94.40058218739867,95.0
87.0,92.4995463076013,94.40016078852585,95.0
88.0,92.4995463076013,94.39974663971091,95.0
89.0,92.4995463076013,94.39933953529771,95.0
90.0,92.4995463076013,94.39893927771084,95.0
91.0,92.4995463076013,94.39854567705117,95.0
92.0,92.4995463076013,94.39815855071689,95.0
93.0,92.4995463076013,94.39777772304642,95.0
94.0,92.4995463076013,94.3974030249826,95.0
95.0,92.4995463076013,94.39703429375702,95.0
96.0,92.4995463076013,94.39667137259175,95.0
97.0,92.4995463076013,94.39631411041911,95.0
98.0,92.4995463076013,94.39596236161645,95.0
99.0,92.4995463076013,94.39561598575665,95.0
100.0,92.4995463076013,94.3952748473719,95.0
101.0,92.4995463076013,94.39493881573051,95.0
102.0,92.4995463076013,94.39460776462631,95.0
103.0,92.4995463076013,94.39428157217894,95.0
104.0,92.4995463076013,94.39396012064496,95.0
105.0,92.4995463076013,94.39364329623899,95.0
106.0,92.4995463076013,94.39333098896421,95.0
107.0,92.4995463076013,94.39302309245168,95.0
108.0,92.4995463076013,94.39271950380777,95.0
109.0,92.4995463076013,94.3924201234695,95.0
110.0,92.4995463076013,94.39212485506711,95.0
111.0,92.4995463076013,94.39183360529378,95.0
112.0,92.4995463076013,94.39154628378101,95.0
113.0,92.4995463076013,94.39126280298117,95.0
114.0,92.4995463076013,94.390983078055,95.0
115.0,92.4995463076013,94.3907070267649,95.0
116.0,92.4995463076013,94.39043456937314,95.0
117.0,92.4995463076013,94.39016562854484,95.0
118.0,92.4995463076013,94.38990012925603,95.0
119.0,92.4995463076013,94.38963799870511,95.0
120.0,92.4995463076013,94.38937916622916,95.0
121.0,92.4995463076013,94.38912356322386,95.0
