"tick","donation-big group","donation-small","donation-normed-big","donation-normed-small","donation-valued-big","donation-valued-small"
1.0,94.9985688400261,94.999375,90.77569163327944,92.5,95.0,95.0
2.0,94.99713768005215,94.99875,90.77569163327944,92.5,95.0,95.0
3.0,94.99570652007824,94.998125,90.77569163327944,92.5,95.0,95.0
4.0,94.99427536010435,94.9975,90.77569163327944,92.5,95.0,95.0
5.0,94.99366099149515,94.99723169988839,90.77569163327944,92.5,95.0,95.0
6.0,94.98206704927144,94.99216852454677,90.77569163327944,92.5,95.0,95.0
7.0,94.95055144680447,94.97840538702134,90.77569163327944,92.5,95.0,95.0
8.0,94.86488315730556,94.94099330038338,90.77569163327944,92.5,95.0,95.0
9.0,94.63201260268556,94.83929670511071,90.77569163327944,92.5,95.0,95.0
10.0,94.02141254745008,94.57264235376053,90.77569163327944,92.5,95.0,95.0
11.0,94.00035099412723,94.5634445903611,90.77569163327944,92.5,95.0,95.0
12.0,93.98198032418287,94.55542195912176,90.77569163327944,92.5,95.0,95.0
13.0,93.96577238526645,94.5483438113204,90.77569163327944,92.5,95.0,95.0
14.0,93.95133361809017,94.54203827619527,90.77569163327944,92.5,95.0,95.0
15.0,93.93836394240175,94.53637430609197,90.77569163327944,92.5,95.0,95.0
16.0,93.92663001956507,94.53125,90.77569163327944,92.5,95.0,95.0
17.0,93.91594730488681,94.5265847656477,90.77569163327944,92.5,95.0,95.0
18.0,93.9061676669257,94.5223139127472,90.77569163327944,92.5,95.0,95.0
19.0,93.89717064178826,94.5183848336691,90.77569163327944,92.5,95.0,95.0
20.0,93.88885712492146,94.51475424859375,90.77569163327944,92.5,95.0,95.0
21.0,93.88114473618431,94.5113861813975,90.77569163327944,92.5,95.0,95.0
22.0,93.87396435774457,94.50825044772226,90.77569163327944,92.5,95.0,95.0
23.0,93.86725750946924,94.50532150878567,90.77569163327944,92.5,95.0,95.0
24.0,93.86097433245196,94.50257759076996,90.77569163327944,92.5,95.0,95.0
25.0,93.8550720208694,94.5,90.77569163327944,92.5,95.0,95.0
26.0,93.8495135889351,94.49757258446137,90.77569163327944,92.5,95.0,95.0
27.0,93.84426689148417,94.49528130608117,90.77569163327944,92.5,95.0,95.0
28.0,93.83930383875278,94.49311389781538,90.77569163327944,92.5,95.0,95.0
29.0,93.83459976142807,94.49105958636065,90.77569163327944,92.5,95.0,95.0
30.0,93.83013289312368,94.4891088661469,90.77569163327944,92.5,95.0,95.0
31.0,93.82588394545009,94.48725331376673,90.77569163327944,92.5,95.0,95.0
32.0,93.82183575671594,94.4854854345604,90.77569163327944,92.5,95.0,95.0
33.0,93.8179729996432,94.48379853497231,90.77569163327944,92.5,95.0,95.0
34.0,93.81428193672546,94.48218661571407,90.77569163327944,92.5,95.0,95.0
35.0,93.81075021431676,94.48064428184107,90.77569163327944,92.5,95.0,95.0
36.0,93.80736668840565,94.47916666666667,90.77569163327944,92.5,95.0,95.0
37.0,93.80412127647007,94.47774936706584,90.77569163327944,92.5,95.0,95.0
38.0,93.80100483092042,94.47638838820673,90.77569163327944,92.5,95.0,95.0
39.0,93.79800903050923,94.47508009612818,90.77569163327944,92.5,95.0,95.0
40.0,93.79512628676844,94.47382117688026,90.77569163327944,92.5,95.0,95.0
41.0,93.79234966307719,94.47260860118038,90.77569163327944,92.5,95.0,95.0
42.0,93.78967280439322,94.47143959372632,90.77569163327944,92.5,95.0,95.0
43.0,93.7870898760258,94.47031160645787,90.77569163327944,92.5,95.0,95.0
44.0,93.78459551010698,94.46922229518056,90.77569163327944,92.5,95.0,95.0
45.0,93.78218475864321,94.46816949906248,90.77569163327944,92.5,95.0,95.0
46.0,93.77985305221114,94.46715122259681,90.77569163327944,92.5,95.0,95.0
47.0,93.77759616351373,94.46616561968618,90.77569163327944,92.5,95.0,95.0
48.0,93.77541017513482,94.46521097956088,90.77569163327944,92.5,95.0,95.0
49.0,93.79155408159058,94.57087509252652,90.7922888490151,92.4465210979561,95.0,95.0
50.0,93.78948345834513,94.56960372031457,90.7922888490151,92.4465210979561,95.0,95.0
51.0,93.78747266527283,94.56835356749528,90.7922888490151,92.4465210979561,95.0,95.0
52.0,93.78551881186577,94.56712360891999,90.7922888490151,92.4465210979561,95.0,95.0
53.0,93.78364571058682,94.56622876884425,90.7922888490151,92.4465210979561,95.0,95.0
54.0,93.78146795557997,94.5611060914476,90.7922888490151,92.4465210979561,95.0,95.0
55.0,93.77869294559919,94.54829652595592,90.7922888490151,92.4465210979561,95.0,95.0
56.0,93.77420740680914,94.51456096917084,90.7922888490151,92.4465210979561,95.0,95.0
57.0,93.76498908692585,94.423913204717,90.7922888490151,92.4465210979561,95.0,95.0
58.0,93.7435536508114,94.18719971111675,90.7922888490151,92.4465210979561,95.0,95.0
59.0,93.74129455955686,94.17849572139718,90.7922888490151,92.4465210979561,95.0,95.0
