"tick","donation-big group","donation-small","donation-normed-big","donation-normed-small","donation-valued-big","donation-valued-small"
1.0,92.82009219983227,92.82009219983223,92.5,92.5,95.0,95.0
2.0,92.8175003175004,92.81750031750047,92.5,92.5,95.0,95.0
3.0,92.81497039417442,92.81497039417435,92.5,92.5,95.0,95.0
4.0,92.8125,92.8125,92.5,92.5,95.0,95.0
5.0,92.81008683647293,92.81008683647302,92.5,92.5,95.0,95.0
6.0,92.80772872744826,92.80772872744832,92.5,92.5,95.0,95.0
7.0,92.80542361089078,92.80542361089076,92.5,92.5,95.0,95.0
8.0,92.80316953129545,92.80316953129541,92.5,92.5,95.0,95.0
9.0,92.8009646327145,92.80096463271443,92.5,92.5,95.0,95.0
10.0,92.7988071523335,92.7988071523336,92.5,92.5,95.0,95.0
11.0,92.79669541454852,92.79669541454845,92.5,92.5,95.0,95.0
12.0,92.79462782549429,92.79462782549439,92.5,92.5,95.0,95.0
13.0,92.79260286799034,92.79260286799033,92.5,92.5,95.0,95.0
14.0,92.79061909685963,92.79061909685954,92.5,92.5,95.0,95.0
15.0,92.78867513459492,92.78867513459483,92.5,92.5,95.0,95.0
16.0,92.7867696673383,92.7867696673382,92.5,92.5,95.0,95.0
17.0,92.78490144114919,92.78490144114909,92.5,92.5,94.99999999999999,94.99999999999999
18.0,92.78306925853605,92.78306925853614,92.5,92.5,95.00000000000001,95.00000000000001
19.0,92.7812719752316,92.7812719752315,92.5,92.5,95.00000000000001,95.00000000000001
20.0,92.77950849718756,92.77950849718748,92.5,92.5,95.0,95.0
21.0,92.77777777777767,92.77777777777777,92.5,92.5,95.00000000000001,95.00000000000001
22.0,92.77607881518718,92.77607881518712,92.5,92.5,95.0,95.0
23.0,92.7744106499741,92.77441064997423,92.5,92.5,95.0,95.0
24.0,92.77277236279498,92.77277236279498,92.5,92.5,95.0,95.0
25.0,92.77116307227332,92.77116307227332,92.5,92.5,94.99999999999999,94.99999999999999
26.0,92.76958193300857,92.7695819330086,92.5,92.5,94.99999999999999,94.99999999999999
27.0,92.76802813370954,92.76802813370945,92.5,92.5,95.0,95.0
28.0,92.76650089544454,92.76650089544451,92.5,92.5,95.0,95.0
29.0,92.76499947000147,92.76499947000158,92.5,92.5,94.99999999999999,94.99999999999999
30.0,92.7635231383474,92.76352313834735,92.5,92.5,95.0,95.0
31.0,92.76207120918048,92.76207120918049,92.5,92.5,95.0,95.0
32.0,92.76064301757128,92.76064301757134,92.5,92.5,95.0,95.0
33.0,92.75923792368273,92.7592379236826,92.5,92.5,95.0,95.0
34.0,92.7578553115646,92.7578553115647,92.5,92.5,95.00000000000001,95.00000000000001
35.0,92.75649458802128,92.75649458802128,92.5,92.5,95.0,95.0
36.0,92.75515518153982,92.75515518153992,92.5,92.5,94.99999999999999,94.99999999999999
37.0,92.75383654128352,92.7538365412834,92.5,92.5,95.00000000000001,95.00000000000001
38.0,92.75253813613811,92.75253813613806,92.5,92.5,95.0,95.0
39.0,92.7512594538148,92.7512594538148,92.5,92.5,95.0,95.0
40.0,92.75,92.75,92.5,92.5,95.0,95.0
41.0,92.74875929755241,92.7487592975525,92.5,92.5,95.0,95.0
42.0,92.74753688574408,92.74753688574417,92.5,92.5,95.0,95.0
43.0,92.74633231954097,92.74633231954107,92.5,92.5,94.99999999999999,94.99999999999999
44.0,92.7451451689228,92.74514516892272,92.5,92.5,94.99999999999999,94.99999999999999
45.0,92.74397501823722,92.74397501823712,92.5,92.5,95.0,95.0
46.0,92.74282146558927,92.74282146558932,92.5,92.5,95.00000000000001,95.00000000000001
47.0,92.7416841222614,92.74168412226142,92.5,92.5,95.0,95.0
48.0,92.7405626121624,92.74056261216235,92.5,92.5,95.0,95.0
49.0,86.56658222662888,77.01727405626123,92.29865330272499,92.27405626121624,88.66197183098593,77.00000000000001
50.0,86.57152875340184,77.03454811252243,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
51.0,86.57648901525918,77.05182216878364,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
52.0,86.58146270492405,77.06909622504486,92.29865330272499,92.27405626121624,88.66197183098592,77.0
53.0,86.58304767774737,77.07651163500162,92.29865330272499,92.27405626121624,88.66197183098592,77.0
54.0,86.63037421815883,77.2164501561401,92.29865330272499,92.27405626121624,88.66197183098593,77.0
55.0,86.76068486149829,77.59684249525222,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
56.0,87.1165478279887,78.63085607834573,92.29865330272499,92.27405626121624,88.66197183098593,77.00000000000001
57.0,88.08550419430566,81.44159641164865,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
58.0,90.62767448749155,88.81152003968265,92.29865330272499,92.27405626121624,88.66197183098593,76.99999999999999
59.0,90.71449277034668,89.065732331585,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
60.0,90.79011510098732,89.28746574501127,92.29865330272499,92.27405626121624,88.6619718309859,77.0
61.0,90.8567409427116,89.4830950623651,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
62.0,90.91600920011251,89.6573705319785,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
63.0,90.96916945426952,89.81391411314021,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
64.0,91.01719332094821,89.95554219591217,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
65.0,91.06084920047518,90.08448222898939,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
66.0,91.10075384175015,90.20252215424826,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
67.0,91.13740876694398,90.31111596712795,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
68.0,91.17122654429728,90.4114598564927,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
69.0,91.20255009190227,90.5045481480758,92.29865330272499,92.27405626121624,88.6619718309859,77.00000000000001
70.0,91.2316670968057,90.59121509195782,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
71.0,91.25882094604691,90.67216654151979,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
72.0,91.2842191248828,90.74800429220718,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
73.0,91.30803974777358,90.819245008973,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
74.0,91.33043669373492,90.88633510910695,92.29865330272499,92.27405626121624,88.66197183098593,76.99999999999999
75.0,91.35154368534828,90.94966258374626,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
76.0,91.37147755898016,91.00956647546506,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
77.0,91.39034090914484,91.06634454210027,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
78.0,91.40822424380657,91.12025950325574,92.29865330272499,92.27405626121624,88.66197183098593,76.99999999999999
79.0,91.42520775404508,91.171544169193,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
80.0,91.44136277705209,91.22040568099024,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
81.0,91.45675301335604,91.26702903841688,92.29865330272499,92.27405626121624,88.66197183098593,77.00000000000001
82.0,91.47143554561454,91.31158005274555,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
83.0,91.48546169610846,91.35420783209891,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
84.0,91.49887775227076,91.39504688434685,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
85.0,91.51172558359768,91.43421890521653,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
86.0,91.5240431686496,91.47183430582899,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
87.0,91.53586504722834,91.50799352338248,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
88.0,91.54722270996778,91.54278815044944,92.29865330272499,92.27405626121624,88.66197183098592,76.99999999999999
89.0,91.55814493532313,91.57630191182668,92.29865330272499,92.27405626121624,88.66197183098593,77.00000000000001
90.0,91.56865808215194,91.60861151267692,92.29865330272499,92.27405626121624,88.66197183098593,76.99999999999999
91.0,91.5787863446401,91.63978737753578,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
92.0,91.588551975167,91.6698942964006,92.29865330272499,92.27405626121624,88.66197183098593,76.99999999999999
93.0,91.5979754797686,91.69899199140055,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
94.0,91.60707579009646,91.72713561533276,92.29865330272499,92.27405626121624,88.6619718309859,76.99999999999999
95.0,91.6158704151318,91.75437619153978,92.29865330272499,92.27405626121624,88.66197183098592,77.00000000000001
