"tick","donation-big group","donation-small","donation-normed-big","donation-normed-small","donation-valued-big","donation-valued-small"
1.0,93.25377836144436,93.2537783614444,92.5,92.5,95.0,95.0
2.0,93.22168783648704,93.22168783648704,92.5,92.5,95.0,95.0
3.0,93.1933752452815,93.19337524528154,92.5,92.5,95.0,95.0
4.0,93.16815310478106,93.16815310478106,92.5,92.5,95.0,95.0
5.0,93.1454972243679,93.1454972243679,92.5,92.5,95.0,95.0
6.0,93.125,93.125,92.5,92.5,95.0,95.0
7.0,93.10633906259083,93.10633906259083,92.5,92.5,95.0,95.0
8.0,93.08925565098885,93.08925565098879,92.5,92.5,95.0,95.0
9.0,93.07353933467637,93.07353933467641,92.5,92.5,95.0,95.0
10.0,93.05901699437494,93.05901699437496,92.5,92.5,95.0,95.0
11.0,93.04554472558995,93.04554472558999,92.5,92.5,95.0,95.0
12.0,93.03300179088906,93.03300179088902,92.5,92.5,95.0,95.0
13.0,93.0212860351427,93.02128603514268,92.5,92.5,95.0,95.0
14.0,93.01031036307987,93.01031036307982,92.5,92.5,95.0,95.0
15.0,93.0,93.0,92.5,92.5,95.0,95.0
16.0,92.9902903378455,92.99029033784545,92.5,92.5,95.0,95.0
17.0,92.98112522432471,92.9811252243247,92.5,92.5,95.0,95.0
18.0,92.97245559126159,92.97245559126152,92.5,92.5,94.99999999999999,94.99999999999999
19.0,92.96423834544261,92.96423834544262,92.5,92.5,94.99999999999999,94.99999999999999
20.0,92.95643546458763,92.95643546458764,92.5,92.5,95.0,95.0
21.0,92.94901325506693,92.94901325506693,92.5,92.5,95.0,95.0
22.0,92.94194173824152,92.94194173824158,92.5,92.5,95.0,95.0
23.0,92.93519413988918,92.93519413988925,92.5,92.5,95.00000000000001,95.00000000000001
24.0,92.92874646285631,92.92874646285627,92.5,92.5,94.99999999999999,94.99999999999999
25.0,92.92257712736418,92.92257712736426,92.5,92.5,95.0,95.0
26.0,92.91666666666664,92.91666666666667,92.5,92.5,95.0,95.0
27.0,92.91099746826335,92.91099746826339,92.5,92.5,95.0,95.0
28.0,92.90555355282687,92.9055535528269,92.5,92.5,95.0,95.0
29.0,92.90032038451267,92.90032038451271,92.5,92.5,95.0,95.0
30.0,92.89528470752106,92.89528470752106,92.5,92.5,95.0,95.0
31.0,92.89043440472146,92.89043440472152,92.5,92.5,95.0,95.0
32.0,92.8857583749053,92.88575837490524,92.5,92.5,95.0,95.0
33.0,92.88124642583159,92.8812464258315,92.5,92.5,95.0,95.0
34.0,92.87688918072219,92.8768891807222,92.5,92.5,94.99999999999999,94.99999999999999
35.0,92.87267799624992,92.87267799624996,92.5,92.5,95.00000000000001,95.00000000000001
36.0,92.86860489038732,92.86860489038725,92.5,92.5,94.99999999999999,94.99999999999999
37.0,92.86466247874472,92.86466247874473,92.5,92.5,95.0,95.0
38.0,92.86084391824352,92.86084391824352,92.5,92.5,95.0,95.0
39.0,92.8571428571428,92.85714285714286,92.5,92.5,95.0,95.0
40.0,92.85355339059332,92.85355339059328,92.5,92.5,95.0,95.0
41.0,92.850070021007,92.850070021007,92.5,92.5,95.0,95.0
42.0,92.84668762264079,92.84668762264077,92.5,92.5,95.0,95.0
43.0,92.84340140987167,92.84340140987172,92.5,92.5,95.0,95.0
44.0,92.84020690871978,92.84020690871989,92.5,92.5,95.00000000000001,95.00000000000001
45.0,92.8370999312316,92.83709993123162,92.5,92.5,95.0,95.0
46.0,92.83407655239048,92.83407655239053,92.5,92.5,94.99999999999999,94.99999999999999
47.0,92.83113308926626,92.83113308926627,92.5,92.5,95.00000000000001,95.00000000000001
48.0,92.82826608214931,92.82826608214931,92.5,92.5,95.0,95.0
49.0,92.82547227745212,92.82547227745205,92.5,92.5,95.0,95.0
50.0,92.82274861218403,92.82274861218394,92.5,92.5,95.0,95.0
51.0,92.82009219983227,92.82009219983223,92.5,92.5,95.0,95.0
52.0,92.81750031750049,92.81750031750047,92.5,92.5,95.0,95.0
53.0,92.81497039417441,92.81497039417435,92.5,92.5,94.99999999999999,94.99999999999999
54.0,92.8125,92.8125,92.5,92.5,95.0,95.0
55.0,92.81008683647302,92.81008683647302,92.5,92.5,95.0,95.0
56.0,92.80772872744828,92.80772872744832,92.5,92.5,95.0,95.0
57.0,92.8054236108907,92.80542361089076,92.5,92.5,95.0,95.0
58.0,92.80316953129537,92.80316953129541,92.5,92.5,95.0,95.0
59.0,92.80096463271448,92.80096463271443,92.5,92.5,95.00000000000001,95.00000000000001
60.0,92.7988071523336,92.7988071523336,92.5,92.5,95.0,95.0
61.0,92.79669541454851,92.79669541454845,92.5,92.5,95.0,95.0
62.0,92.79462782549439,92.79462782549439,92.5,92.5,95.0,95.0
63.0,92.79260286799034,92.79260286799033,92.5,92.5,95.00000000000001,95.00000000000001
64.0,92.79061909685961,92.79061909685954,92.5,92.5,94.99999999999999,94.99999999999999
65.0,92.78867513459491,92.78867513459483,92.5,92.5,95.0,95.0
66.0,92.78676966733829,92.7867696673382,92.5,92.5,95.0,95.0
67.0,92.78490144114909,92.78490144114909,92.5,92.5,94.99999999999999,94.99999999999999
68.0,92.78306925853614,92.78306925853614,92.5,92.5,95.00000000000001,95.00000000000001
69.0,92.7812719752315,92.7812719752315,92.5,92.5,95.00000000000001,95.00000000000001
70.0,92.77950849718755,92.77950849718748,92.5,92.5,95.0,95.0
71.0,92.77777777777777,92.77777777777777,92.5,92.5,95.00000000000001,95.00000000000001
72.0,92.77607881518716,92.77607881518712,92.5,92.5,95.0,95.0
73.0,92.77441064997413,92.77441064997423,92.5,92.5,95.0,95.0
74.0,92.77277236279498,92.77277236279498,92.5,92.5,95.0,95.0
75.0,92.77116307227332,92.77116307227332,92.5,92.5,94.99999999999999,94.99999999999999
76.0,92.76958193300865,92.7695819330086,92.5,92.5,94.99999999999999,94.99999999999999
77.0,92.76802813370945,92.76802813370945,92.5,92.5,95.0,95.0
78.0,92.76650089544454,92.76650089544451,92.5,92.5,95.0,95.0
79.0,92.7649994700015,92.76499947000158,92.5,92.5,94.99999999999999,94.99999999999999
80.0,92.7635231383474,92.76352313834735,92.5,92.5,95.0,95.0
81.0,92.76207120918056,92.76207120918049,92.5,92.5,95.0,95.0
82.0,92.76064301757137,92.76064301757134,92.5,92.5,95.0,95.0
83.0,92.75923792368263,92.7592379236826,92.5,92.5,95.0,95.0
84.0,92.75785531156461,92.7578553115647,92.5,92.5,95.00000000000001,95.00000000000001
85.0,92.75649458802128,92.75649458802128,92.5,92.5,95.0,95.0
86.0,92.75515518153992,92.75515518153992,92.5,92.5,94.99999999999999,94.99999999999999
87.0,92.75383654128342,92.7538365412834,92.5,92.5,95.00000000000001,95.00000000000001
88.0,92.75253813613803,92.75253813613806,92.5,92.5,95.0,95.0
89.0,92.7512594538148,92.7512594538148,92.5,92.5,95.0,95.0
90.0,92.75,92.75,92.5,92.5,95.0,95.0
91.0,92.7487592975525,92.7487592975525,92.5,92.5,95.0,95.0
92.0,92.7475368857441,92.74753688574417,92.5,92.5,95.0,95.0
93.0,92.74633231954107,92.74633231954107,92.5,92.5,94.99999999999999,94.99999999999999
94.0,92.74514516892272,92.74514516892272,92.5,92.5,94.99999999999999,94.99999999999999
95.0,92.74397501823712,92.74397501823712,92.5,92.5,95.0,95.0
96.0,92.74282146558927,92.74282146558932,92.5,92.5,95.00000000000001,95.00000000000001
97.0,92.74168412226149,92.74168412226142,92.5,92.5,95.0,95.0
98.0,92.74056261216232,92.74056261216235,92.5,92.5,95.0,95.0
99.0,92.73945657130531,92.7394565713053,92.5,92.5,95.00000000000001,95.00000000000001
100.0,92.7383656473113,92.7383656473114,92.5,92.5,95.0,95.0
101.0,92.7372894989381,92.73728949893813,92.5,92.5,95.0,95.0
102.0,92.7362277956308,92.73622779563077,92.5,92.5,95.0,95.0
103.0,92.73518021709597,92.73518021709589,92.5,92.5,95.0,95.0
104.0,92.73414645289542,92.73414645289542,92.5,92.5,95.00000000000001,95.00000000000001
105.0,92.7331262020601,92.73312620206008,92.5,92.5,95.0,95.0
106.0,92.73211917272138,92.73211917272131,92.5,92.5,95.00000000000001,95.00000000000001
107.0,92.73112508176057,92.73112508176052,92.5,92.5,95.0,95.0
108.0,92.73014365447456,92.73014365447459,92.5,92.5,95.00000000000001,95.00000000000001
109.0,92.72917462425713,92.72917462425706,92.5,92.5,95.0,95.0
110.0,92.72821773229376,92.72821773229381,92.5,92.5,94.99999999999999,94.99999999999999
111.0,92.72727272727266,92.72727272727273,92.5,92.5,95.0,95.0
112.0,92.72633936510638,92.7263393651063,92.5,92.5,95.0,95.0
113.0,92.72541740866687,92.72541740866686,92.5,92.5,95.0,95.0
114.0,92.72450662753354,92.72450662753347,92.5,92.5,95.0,95.0
115.0,92.72360679775002,92.72360679774998,92.5,92.5,95.0,95.0
116.0,92.72271770159375,92.72271770159368,92.5,92.5,95.0,95.0
117.0,92.72183912735403,92.72183912735403,92.5,92.5,95.0,95.0
118.0,92.72097086912076,92.7209708691208,92.5,92.5,95.0,95.0
119.0,92.72011272658133,92.7201127265814,92.5,92.5,94.99999999999999,94.99999999999999
120.0,92.71926450482675,92.71926450482675,92.5,92.5,95.0,95.0
121.0,92.71842601416523,92.71842601416526,92.5,92.5,95.0,95.0
122.0,92.71759706994457,92.71759706994462,92.5,92.5,95.0,95.0
123.0,92.71677749238098,92.71677749238103,92.5,92.5,95.0,95.0
124.0,92.71596710639542,92.71596710639534,92.5,92.5,95.00000000000001,95.00000000000001
125.0,92.71516574145603,92.71516574145596,92.5,92.5,95.0,95.0
126.0,92.71437323142808,92.71437323142813,92.5,92.5,95.0,95.0
127.0,92.7135894144293,92.71358941442918,92.5,92.5,95.0,95.0
128.0,92.71281413268973,92.71281413268969,92.5,92.5,95.00000000000001,95.00000000000001
129.0,92.71204723242005,92.71204723242,92.5,92.5,95.0,95.0
130.0,92.71128856368212,92.71128856368213,92.5,92.5,95.0,95.0
131.0,92.71053798026658,92.71053798026662,92.5,92.5,95.00000000000001,95.00000000000001
132.0,92.70979533957417,92.70979533957417,92.5,92.5,95.0,95.0
133.0,92.7090605025018,92.70906050250177,92.5,92.5,95.0,95.0
134.0,92.70833333333336,92.70833333333333,92.5,92.5,95.0,95.0
135.0,92.70761369963435,92.70761369963435,92.5,92.5,95.0,95.0
136.0,92.7069014721506,92.70690147215059,92.5,92.5,95.0,95.0
137.0,92.70619652471063,92.70619652471059,92.5,92.5,95.0,95.0
138.0,92.70549873413167,92.70549873413171,92.5,92.5,95.0,95.0
139.0,92.70480798012976,92.70480798012976,92.5,92.5,95.00000000000001,95.00000000000001
140.0,92.70412414523194,92.70412414523194,92.5,92.5,95.00000000000001,95.00000000000001
141.0,92.7034471146927,92.70344711469278,92.5,92.5,95.0,95.0
142.0,92.70277677641349,92.70277677641346,92.5,92.5,95.00000000000001,95.00000000000001
143.0,92.70211302086358,92.7021130208636,92.5,92.5,95.0,95.0
144.0,92.7014557410063,92.70145574100636,92.5,92.5,94.99999999999999,94.99999999999999
145.0,92.7008048322256,92.70080483222563,92.5,92.5,95.0,95.0
146.0,92.70016019225648,92.70016019225636,92.5,92.5,95.00000000000001,95.00000000000001
147.0,92.69952172111694,92.69952172111691,92.5,92.5,95.0,95.0
148.0,92.69888932104399,92.69888932104394,92.5,92.5,95.00000000000001,95.00000000000001
149.0,92.69826289642961,92.69826289642954,92.5,92.5,95.0,95.0
150.0,92.69764235376047,92.69764235376051,92.5,92.5,95.0,95.0
151.0,92.69702760155985,92.69702760155977,92.5,92.5,95.00000000000001,95.00000000000001
152.0,92.69641855032964,92.6964185503296,92.5,92.5,95.0,95.0
153.0,92.69581511249694,92.69581511249699,92.5,92.5,95.0,95.0
154.0,92.69521720236077,92.69521720236077,92.5,92.5,95.0,95.0
155.0,92.69462473604028,92.69462473604038,92.5,92.5,95.0,95.0
156.0,92.69403763142658,92.6940376314266,92.5,92.5,95.00000000000001,95.00000000000001
157.0,92.69345580813349,92.69345580813354,92.5,92.5,95.0,95.0
158.0,92.69287918745253,92.6928791874526,92.5,92.5,95.0,95.0
159.0,92.69230769230766,92.6923076923077,92.5,92.5,95.00000000000001,95.00000000000001
160.0,92.69174124721181,92.69174124721185,92.5,92.5,95.0,95.0
161.0,92.69117977822549,92.69117977822546,92.5,92.5,95.0,95.0
162.0,92.69062321291581,92.69062321291575,92.5,92.5,95.0,95.0
163.0,92.6900714803174,92.69007148031743,92.5,92.5,95.0,95.0
164.0,92.68952451089476,92.68952451089471,92.5,92.5,95.0,95.0
165.0,92.68898223650466,92.68898223650461,92.5,92.5,95.0,95.0
166.0,92.68844459036114,92.6884445903611,92.5,92.5,95.0,95.0
167.0,92.68791150700062,92.6879115070007,92.5,92.5,94.99999999999999,94.99999999999999
168.0,92.687382922249,92.68738292224897,92.5,92.5,95.0,95.0
169.0,92.68685877318794,92.68685877318799,92.5,92.5,95.0,95.0
170.0,92.686338998125,92.68633899812498,92.5,92.5,95.00000000000001,95.00000000000001
171.0,92.68582353656174,92.68582353656178,92.5,92.5,94.99999999999999,94.99999999999999
172.0,92.68531232916524,92.68531232916527,92.5,92.5,95.0,95.0
173.0,92.68480531773861,92.68480531773865,92.5,92.5,95.0,95.0
174.0,92.68430244519367,92.68430244519362,92.5,92.5,95.0,95.0
175.0,92.68380365552355,92.68380365552345,92.5,92.5,95.0,95.0
176.0,92.6833088937766,92.6833088937767,92.5,92.5,95.0,95.0
177.0,92.68281810603183,92.68281810603179,92.5,92.5,95.0,95.0
178.0,92.6823312393723,92.68233123937236,92.5,92.5,95.0,95.0
179.0,92.68184824186334,92.68184824186334,92.5,92.5,95.0,95.0
180.0,92.68136906252758,92.68136906252751,92.5,92.5,95.0,95.0
181.0,92.68089365132307,92.6808936513231,92.5,92.5,95.0,95.0
182.0,92.6804219591217,92.68042195912176,92.5,92.5,94.99999999999999,94.99999999999999
183.0,92.6799539376871,92.67995393768717,92.5,92.5,95.0,95.0
184.0,92.67948953965436,92.67948953965443,92.5,92.5,94.99999999999999,94.99999999999999
185.0,92.67902871850985,92.67902871850985,92.5,92.5,95.0,95.0
186.0,92.67857142857147,92.67857142857142,92.5,92.5,95.0,95.0
187.0,92.67811762496972,92.67811762496977,92.5,92.5,95.0,95.0
188.0,92.67766726362969,92.67766726362967,92.5,92.5,95.0,95.0
189.0,92.67722030125209,92.67722030125209,92.5,92.5,94.99999999999999,94.99999999999999
190.0,92.67677669529661,92.67677669529664,92.5,92.5,95.0,95.0
191.0,92.67633640396467,92.67633640396464,92.5,92.5,95.0,95.0
192.0,92.67589938618259,92.67589938618256,92.5,92.5,95.0,95.0
193.0,92.67546560158591,92.6754656015859,92.5,92.5,95.0,95.0
194.0,92.67503501050345,92.6750350105035,92.5,92.5,94.99999999999999,94.99999999999999
195.0,92.6746075739424,92.6746075739424,92.5,92.5,95.00000000000001,95.00000000000001
196.0,92.67418325357298,92.6741832535729,92.5,92.5,95.0,95.0
197.0,92.67376201171425,92.67376201171423,92.5,92.5,95.0,95.0
198.0,92.67334381132048,92.67334381132038,92.5,92.5,94.99999999999999,94.99999999999999
199.0,92.67292861596654,92.67292861596651,92.5,92.5,95.0,95.0
200.0,92.67251638983552,92.6725163898356,92.5,92.5,95.0,95.0
201.0,92.67210709770544,92.67210709770538,92.5,92.5,95.00000000000001,95.00000000000001
202.0,92.67170070493589,92.67170070493586,92.5,92.5,95.00000000000001,95.00000000000001
203.0,92.67129717745685,92.67129717745688,92.5,92.5,95.0,95.0
204.0,92.6708964817562,92.67089648175616,92.5,92.5,94.99999999999999,94.99999999999999
205.0,92.67049858486766,92.67049858486762,92.5,92.5,95.0,95.0
206.0,92.6701034543599,92.67010345435995,92.5,92.5,94.99999999999999,94.99999999999999
207.0,92.66971105832549,92.66971105832553,92.5,92.5,95.0,95.0
208.0,92.66932136536971,92.66932136536964,92.5,92.5,95.0,95.0
209.0,92.66893434459993,92.66893434459988,92.5,92.5,94.99999999999999,94.99999999999999
210.0,92.66854996561588,92.66854996561581,92.5,92.5,95.0,95.0
211.0,92.66816819849915,92.66816819849909,92.5,92.5,95.0,95.0
212.0,92.6677890138035,92.66778901380351,92.5,92.5,95.0,95.0
213.0,92.6674123825456,92.6674123825456,92.5,92.5,95.0,95.0
214.0,92.66703827619527,92.66703827619527,92.5,92.5,95.0,95.0
215.0,92.66666666666664,92.66666666666666,92.5,92.5,95.0,95.0
216.0,92.6662975263094,92.66629752630944,92.5,92.5,95.00000000000001,95.00000000000001
217.0,92.66593082790001,92.6659308279,92.5,92.5,94.99999999999999,94.99999999999999
218.0,92.66556654463321,92.66556654463312,92.5,92.5,95.0,95.0
219.0,92.66520465011388,92.66520465011378,92.5,92.5,94.99999999999999,94.99999999999999
220.0,92.66484511834904,92.66484511834895,92.5,92.5,95.0,95.0
221.0,92.66448792374004,92.66448792373996,92.5,92.5,95.0,95.0
222.0,92.66413304107473,92.66413304107465,92.5,92.5,95.0,95.0
223.0,92.66378044552008,92.6637804455201,92.5,92.5,95.00000000000001,95.00000000000001
224.0,92.6634301126151,92.66343011261515,92.5,92.5,94.99999999999999,94.99999999999999
225.0,92.66308201826348,92.66308201826337,92.5,92.5,95.0,95.0
226.0,92.66273613872603,92.66273613872603,92.5,92.5,95.00000000000001,95.00000000000001
227.0,92.66239245061539,92.66239245061541,92.5,92.5,95.0,95.0
228.0,92.66205093088807,92.66205093088804,92.5,92.5,95.0,95.0
229.0,92.66171155683827,92.66171155683828,92.5,92.5,95.0,95.0
230.0,92.66137430609199,92.66137430609199,92.5,92.5,95.0,95.0
231.0,92.66103915660014,92.66103915660021,92.5,92.5,94.99999999999999,94.99999999999999
232.0,92.66070608663327,92.6607060866333,92.5,92.5,95.0,95.0
233.0,92.66037507477489,92.66037507477489,92.5,92.5,95.0,95.0
234.0,92.66004609991613,92.66004609991612,92.5,92.5,94.99999999999999,94.99999999999999
235.0,92.6597191412501,92.65971914124998,92.5,92.5,95.0,95.0
236.0,92.6593941782658,92.65939417826583,92.5,92.5,95.0,95.0
237.0,92.6590711907439,92.65907119074394,92.5,92.5,95.0,95.0
238.0,92.65875015875017,92.65875015875024,92.5,92.5,95.0,95.0
239.0,92.6584310626312,92.65843106263112,92.5,92.5,95.0,95.0
240.0,92.65811388300843,92.65811388300843,92.5,92.5,95.0,95.0
241.0,92.6577986007745,92.65779860077444,92.5,92.5,95.0,95.0
242.0,92.65748519708721,92.65748519708718,92.5,92.5,95.0,95.0
243.0,92.65717365336552,92.65717365336549,92.5,92.5,95.0,95.0
244.0,92.65686395128444,92.65686395128454,92.5,92.5,94.99999999999999,94.99999999999999
245.0,92.6565560727713,92.65655607277128,92.5,92.5,95.0,95.0
246.0,92.65625,92.65625,92.5,92.5,95.0,95.0
247.0,92.655945715388,92.65594571538796,92.5,92.5,95.00000000000001,95.00000000000001
248.0,92.65564320159126,92.65564320159118,92.5,92.5,95.0,95.0
249.0,92.65534244150027,92.6553424415003,92.5,92.5,95.0,95.0
250.0,92.65504341823643,92.6550434182365,92.5,92.5,95.00000000000001,95.00000000000001
251.0,92.6547461151476,92.65474611514753,92.5,92.5,94.99999999999999,94.99999999999999
252.0,92.65445051580386,92.6544505158038,92.5,92.5,94.99999999999999,94.99999999999999
253.0,92.65415660399452,92.65415660399455,92.5,92.5,94.99999999999999,94.99999999999999
254.0,92.65386436372414,92.65386436372417,92.5,92.5,95.0,95.0
255.0,92.65357377920839,92.65357377920849,92.5,92.5,94.99999999999999,94.99999999999999
256.0,92.65328483487123,92.65328483487124,92.5,92.5,95.0,95.0
257.0,92.65299751534064,92.65299751534053,92.5,92.5,95.00000000000001,95.00000000000001
258.0,92.65271180544546,92.65271180544539,92.5,92.5,94.99999999999999,94.99999999999999
259.0,92.6524276902124,92.65242769021242,92.5,92.5,95.0,95.0
260.0,92.6521451548625,92.65214515486255,92.5,92.5,95.00000000000001,95.00000000000001
261.0,92.65186418480778,92.6518641848077,92.5,92.5,95.0,95.0
262.0,92.65158476564771,92.65158476564771,92.5,92.5,95.0,95.0
263.0,92.65130688316727,92.65130688316721,92.5,92.5,95.00000000000001,95.00000000000001
264.0,92.65103052333245,92.65103052333255,92.5,92.5,95.0,95.0
265.0,92.65075567228897,92.65075567228888,92.5,92.5,95.0,95.0
266.0,92.65048231635721,92.65048231635721,92.5,92.5,95.0,95.0
267.0,92.65021044203151,92.65021044203154,92.5,92.5,94.99999999999999,94.99999999999999
268.0,92.6499400359761,92.64994003597602,92.5,92.5,94.99999999999999,94.99999999999999
269.0,92.64967108502238,92.64967108502232,92.5,92.5,95.0,95.0
