"tick","donation-normed-small","donation-small","donation-valued-small"
1.0,32.5,72.4925,72.5
2.0,32.5,72.485,72.5
3.0,32.5,72.47749999999999,72.5
4.0,32.5,72.47,72.5
5.0,32.5,72.46678039866059,72.5
6.0,32.5,72.40602229456115,72.5
7.0,32.5,72.24086464425604,72.5
8.0,32.5,71.79191960460062,72.5
9.0,32.5,70.57156046132853,72.5
10.0,32.5,67.37170824512629,72.5
11.0,32.5,67.26133508433323,72.5
12.0,32.5,67.1650635094611,72.5
13.0,32.5,67.0801257358446,72.5
14.0,32.5,67.0044593143432,72.5
15.0,32.5,66.9364916731037,72.49999999999999
16.0,32.5,66.875,72.5
17.0,32.5,66.81901718777249,72.5
18.0,32.5,66.76776695296638,72.5
19.0,32.5,66.7206180040292,72.5
20.0,32.5,66.67705098312484,72.5
21.0,32.5,66.63663417676995,72.5
22.0,32.5,66.59900537266708,72.5
23.0,32.5,66.56385810542805,72.5
24.0,32.5,66.53093108923949,72.5
25.0,32.5,66.5,72.5
26.0,32.5,66.4708710135364,72.5
27.0,32.5,66.44337567297406,72.5
28.0,32.5,66.41736677378461,72.5
29.0,32.5,66.39271503632789,72.5
30.0,32.5,66.36930639376293,72.5
31.0,32.5,66.3470397652008,72.5
32.0,32.5,66.32582521472479,72.5
33.0,32.5,66.30558241966773,72.5
34.0,32.5,66.28623938856882,72.50000000000001
35.0,32.5,66.26773138209276,72.5
36.0,32.5,66.25,72.50000000000001
37.0,32.5,66.23299240479017,72.5
38.0,32.5,66.21666065848072,72.5
39.0,32.5,66.20096115353815,72.5
40.0,32.5,66.18585412256314,72.5
41.0,32.5,66.17130321416454,72.5
42.0,32.5,66.1572751247157,72.5
43.0,32.5,66.14373927749453,72.5
44.0,32.5,66.13066754216662,72.5
45.0,32.5,66.11803398874989,72.5
46.0,32.5,66.10581467116174,72.5
47.0,32.5,66.0939874362342,72.5
48.0,32.5,66.08253175473055,72.5
49.0,32.5,66.07142857142856,72.5
50.0,32.5,66.06066017177983,72.5
51.0,32.5,66.050210063021,72.5
52.0,64.44337524528153,66.04006286792232,72.5
