"tick","donation-big group","donation-small","donation-normed-big","donation-normed-small","donation-valued-big","donation-valued-small"
1.0,50.005593152418975,50.0,63.15745767935101,14.375,50.0,50.0
2.0,50.00962263619801,50.0,63.15745767935101,14.375,50.0,50.0
3.0,50.01443395429701,50.0,63.15745767935101,14.375,50.0,50.0
4.0,50.01924527239602,50.0,63.15745767935101,14.375,50.0,50.0
5.0,50.021310675888806,50.0,63.15745767935101,14.375,50.0,50.0
6.0,50.060287551344125,50.0,63.15745767935101,14.375,50.0,50.0
7.0,50.166237683624445,50.0,63.15745767935101,14.375,50.0,50.0
8.0,50.45424000292484,50.0,63.15745767935101,14.375,50.0,50.0
9.0,51.23711147403314,50.0,63.15745767935101,14.375,50.0,50.0
10.0,53.289845724960855,50.0,63.15745767935101,14.375,50.0,50.0
11.0,53.360651109783284,50.0,63.15745767935101,14.375,50.0,50.0
12.0,53.42241019919688,50.0,63.15745767935101,14.375,50.0,50.0
13.0,53.4768985521956,50.0,63.15745767935101,14.375,50.0,50.0
14.0,53.52543924862983,50.0,63.15745767935101,14.375,50.0,50.0
15.0,53.56904110762213,50.0,63.15745767935101,14.375,50.0,50.0
16.0,53.6084885742544,50.0,63.15745767935101,14.375,50.0,50.0
17.0,53.64440205661486,50.0,63.15745767935101,14.375,50.0,50.0
18.0,53.67727954758832,50.0,63.15745767935101,14.375,50.0,50.0
19.0,53.70752602643772,50.0,63.15745767935101,14.375,50.0,50.0
20.0,53.735474665930646,50.0,63.15745767935101,14.375,50.0,50.0
21.0,53.76140241418657,50.0,63.15745767935101,14.375,50.0,50.0
22.0,53.78554163368312,50.0,63.15745767935101,14.375,50.0,50.0
23.0,53.80808892474946,50.0,63.15745767935101,14.375,50.0,50.0
24.0,53.829211904607384,50.0,63.15745767935101,14.375,50.0,50.0
25.0,53.8490544792047,50.0,63.15745767935101,14.375,50.0,50.0
26.0,53.867740988508444,50.0,63.15745767935101,14.375,50.0,50.0
27.0,53.88537949913322,50.0,63.15745767935101,14.375,50.0,50.0
28.0,53.90206444412062,50.0,63.15745767935101,14.375,50.0,50.0
29.0,53.91787875753362,50.0,63.15745767935101,14.375,50.0,50.0
30.0,53.9328956142864,50.0,63.15745767935101,14.375,50.0,50.0
31.0,53.947179858687036,50.0,63.15745767935101,14.375,50.0,50.0
32.0,53.96078918544271,50.0,63.15745767935101,14.375,50.0,50.0
33.0,53.97377512227369,50.0,63.15745767935101,14.375,50.0,50.0
34.0,53.98618385235582,50.0,63.15745767935101,14.375,50.0,50.0
35.0,53.99805690656044,50.0,63.15745767935101,14.375,50.0,50.0
36.0,54.00943174917156,50.0,63.15745767935101,14.375,50.0,50.0
37.0,54.020342275925366,50.0,63.15745767935101,14.375,50.0,50.0
38.0,54.03081923947298,50.0,63.15745767935101,14.375,50.0,50.0
39.0,54.04089061444306,50.0,63.15745767935101,14.375,50.0,50.0
40.0,54.05058191198337,50.0,63.15745767935101,14.375,50.0,50.0
41.0,54.05991645184139,50.0,63.15745767935101,14.375,50.0,50.0
42.0,54.06891559859603,50.0,63.15745767935101,14.375,50.0,50.0
43.0,54.0775989674921,50.0,63.15745767935101,14.375,50.0,50.0
44.0,54.08598460439459,50.0,63.15745767935101,14.375,50.0,50.0
45.0,54.0940891436224,50.0,63.15745767935101,14.375,50.0,50.0
46.0,54.101927946804985,50.0,63.15745767935101,14.375,50.0,50.0
47.0,54.10951522540071,50.0,63.15745767935101,14.375,50.0,50.0
48.0,54.11686414910139,50.0,63.15745767935101,14.375,50.0,50.0
49.0,54.123986942005025,50.0,63.15745767935101,14.375,50.0,50.0
50.0,54.13089496815534,50.0,63.15745767935101,14.375,50.0,50.0
51.0,54.13759880780973,50.0,63.15745767935101,14.375,50.0,50.0
52.0,54.14410832560074,50.0,57.879137558712706,50.0,50.0,50.0
53.0,54.148555447932786,50.015,57.16714331475871,50.0,50.0,50.0
54.0,54.15370975824343,50.03,57.16714331475871,50.0,50.0,50.0
55.0,54.15869562687941,50.04500000000001,57.16714331475871,50.0,50.0,50.0
56.0,54.16352060764171,50.06,57.16714331475871,50.0,50.0,50.0
57.0,54.16926319142361,50.066439202678836,57.16714331475871,50.0,50.0,50.00000000000001
58.0,54.1599521489809,50.1879554108777,57.16714331475871,50.0,50.0,50.0
59.0,54.13114804087651,50.51827071148794,57.16714331475871,50.0,50.0,50.00000000000001
60.0,54.04347659459768,51.41616079079874,57.16714331475871,50.0,50.0,50.0
